Comunidad Autonoma,Periodo,Actividad,Censo,Criminalidad,GastoHogares,GastoProteccionAmbiental,Hipotecas,IngresosMedios,IPC,TipoVivienda,IPV,NumHabitaciones,NumHogares,PIB,Emisiones GEI,Precio del suelo
01 Andalucía,2014,58.6,2058278.0,53536.0,24388.32,125653863.0,283133.0,8079.0,93.795,Vivienda nueva,94.84,Entre 3 y 6 habitaciones,2525.2,2.349,4629.0,155.77
01 Andalucía,2014,58.6,2058278.0,53536.0,24388.32,125653863.0,283133.0,8079.0,93.795,Vivienda nueva,94.84,7 o más habitaciones,573.4,2.349,4629.0,155.77
01 Andalucía,2014,58.6,2058278.0,53536.0,24388.32,125653863.0,283133.0,8079.0,93.795,Vivienda segunda mano,97.401,Menos de 3 habitaciones,64.8,2.349,4629.0,155.77
01 Andalucía,2014,58.6,2058278.0,53536.0,24388.32,125653863.0,283133.0,8079.0,93.795,Vivienda segunda mano,97.401,Entre 3 y 6 habitaciones,2525.2,2.349,4629.0,155.77
01 Andalucía,2014,58.6,2058278.0,53536.0,24388.32,125653863.0,283133.0,8079.0,93.795,Vivienda segunda mano,97.401,7 o más habitaciones,573.4,2.349,4629.0,155.77
01 Andalucía,2013,58.8,2058278.0,54881.0,24349.51,71068009.0,193322.0,8408.0,94.942,Vivienda nueva,93.426,Menos de 3 habitaciones,42.8,2.349,47114.0,129.07
01 Andalucía,2013,58.8,2058278.0,54881.0,24349.51,71068009.0,193322.0,8408.0,94.942,Vivienda nueva,93.426,Entre 3 y 6 habitaciones,2539.8,2.349,47114.0,129.07
01 Andalucía,2013,58.8,2058278.0,54881.0,24349.51,71068009.0,193322.0,8408.0,94.942,Vivienda nueva,93.426,7 o más habitaciones,552.4,2.349,47114.0,129.07
01 Andalucía,2013,58.8,2058278.0,54881.0,24349.51,71068009.0,193322.0,8408.0,94.942,Vivienda segunda mano,97.546,Menos de 3 habitaciones,42.8,2.349,47114.0,129.07
01 Andalucía,2013,58.8,2058278.0,54881.0,24349.51,71068009.0,193322.0,8408.0,94.942,Vivienda segunda mano,97.546,Entre 3 y 6 habitaciones,2539.8,2.349,47114.0,129.07
01 Andalucía,2013,58.8,2058278.0,54881.0,24349.51,71068009.0,193322.0,8408.0,94.942,Vivienda segunda mano,97.546,7 o más habitaciones,552.4,2.349,47114.0,129.07
01 Andalucía,2012,58.9,2058278.0,11092.5,25642.98,70181288.0,266055.0,8845.0,94.685,Vivienda nueva,102.465,7 o más habitaciones,108.65,2.349,50119.0,159.17
01 Andalucía,2012,58.9,2058278.0,11092.5,25642.98,70181288.0,266055.0,8845.0,94.685,Vivienda segunda mano,106.874,7 o más habitaciones,108.65,2.349,50119.0,159.17
01 Andalucía,2011,58.9,2058278.0,11092.5,27203.92,76807816.0,458390.0,8764.0,92.308,Vivienda nueva,113.785,7 o más habitaciones,108.65,2.349,50674.0,186.22
01 Andalucía,2011,58.9,2058278.0,11092.5,27203.92,76807816.0,458390.0,8764.0,92.308,Vivienda segunda mano,123.379,7 o más habitaciones,108.65,2.349,50674.0,186.22
01 Andalucía,2010,58.8,2058278.0,11092.5,27957.47,111977042.0,636542.0,9293.0,90.391,Vivienda nueva,118.436,7 o más habitaciones,108.65,2.349,51427.0,214.81
01 Andalucía,2010,58.8,2058278.0,11092.5,27957.47,111977042.0,636542.0,9293.0,90.391,Vivienda segunda mano,134.273,7 o más habitaciones,108.65,2.349,51427.0,214.81
02 Aragón,2023,58.6,1341289.0,11092.5,32980.44,30083672.0,62214.0,1481.0,113.13,Vivienda nueva,109.46,7 o más habitaciones,108.65,2.349,13418.0,127.61
02 Aragón,2022,59.2,1328215.0,1047.0,31480.7,48505243.0,113126.0,14015.0,110.384,Vivienda nueva,136.464,7 o más habitaciones,108.65,2.759,1008.0,105.16
02 Aragón,2022,59.2,1328215.0,1047.0,31480.7,48505243.0,113126.0,14015.0,110.384,Vivienda segunda mano,130.684,7 o más habitaciones,108.65,2.759,1008.0,105.16
02 Aragón,2021,58.2,1331938.0,10063.0,28627.34,41123387.0,169251.0,13345.0,104.272,Vivienda nueva,126.828,7 o más habitaciones,108.65,5.102,9733.0,95.75
02 Aragón,2021,58.2,1331938.0,10063.0,28627.34,41123387.0,169251.0,13345.0,104.272,Vivienda segunda mano,123.266,7 o más habitaciones,108.65,5.102,9733.0,95.75
02 Aragón,2020,58.7,2058278.0,7672.0,27695.68,26250947.0,109853.0,13097.0,97.276,Vivienda nueva,122.864,Menos de 3 habitaciones,5.3,-9.062,9826.0,97.49
02 Aragón,2020,58.7,2058278.0,7672.0,27695.68,26250947.0,109853.0,13097.0,97.276,Vivienda nueva,122.864,Entre 3 y 6 habitaciones,423.1,-9.062,9826.0,97.49
02 Aragón,2020,58.7,2058278.0,7672.0,27695.68,26250947.0,109853.0,13097.0,97.276,Vivienda nueva,122.864,7 o más habitaciones,115.0,-9.062,9826.0,97.49
02 Aragón,2020,58.7,2058278.0,7672.0,27695.68,26250947.0,109853.0,13097.0,97.276,Vivienda segunda mano,118.566,Menos de 3 habitaciones,5.3,-9.062,9826.0,97.49
02 Aragón,2020,58.7,2058278.0,7672.0,27695.68,26250947.0,109853.0,13097.0,97.276,Vivienda segunda mano,118.566,Entre 3 y 6 habitaciones,423.1,-9.062,9826.0,97.49
02 Aragón,2020,58.7,2058278.0,7672.0,27695.68,26250947.0,109853.0,13097.0,97.276,Vivienda segunda mano,118.566,7 o más habitaciones,115.0,-9.062,9826.0,97.49
02 Aragón,2019,58.6,2058278.0,9595.0,30716.04,12859166.0,68685.0,123.0,97.907,Vivienda nueva,118.116,Menos de 3 habitaciones,5.7,0.28,11933.0,111.57
02 Aragón,2019,58.6,2058278.0,9595.0,30716.04,12859166.0,68685.0,123.0,97.907,Vivienda nueva,118.116,Entre 3 y 6 habitaciones,427.2,0.28,11933.0,111.57
02 Aragón,2019,58.6,2058278.0,9595.0,30716.04,12859166.0,68685.0,123.0,97.907,Vivienda nueva,118.116,7 o más habitaciones,106.8,0.28,11933.0,111.57
02 Aragón,2019,58.6,2058278.0,9595.0,30716.04,12859166.0,68685.0,123.0,97.907,Vivienda segunda mano,116.105,Menos de 3 habitaciones,5.7,0.28,11933.0,111.57
02 Aragón,2019,58.6,2058278.0,9595.0,30716.04,12859166.0,68685.0,123.0,97.907,Vivienda segunda mano,116.105,Entre 3 y 6 habitaciones,427.2,0.28,11933.0,111.57
02 Aragón,2019,58.6,2058278.0,9595.0,30716.04,12859166.0,68685.0,123.0,97.907,Vivienda segunda mano,116.105,7 o más habitaciones,106.8,0.28,11933.0,111.57
02 Aragón,2018,58.1,2058278.0,9266.0,28728.85,22876043.0,56751.0,1199.0,97.155,Vivienda nueva,110.383,Menos de 3 habitaciones,3.7,2.64,12603.0,104.73
02 Aragón,2018,58.1,2058278.0,9266.0,28728.85,22876043.0,56751.0,1199.0,97.155,Vivienda nueva,110.383,Entre 3 y 6 habitaciones,422.3,2.64,12603.0,104.73
02 Aragón,2018,58.1,2058278.0,9266.0,28728.85,22876043.0,56751.0,1199.0,97.155,Vivienda nueva,110.383,7 o más habitaciones,111.5,2.64,12603.0,104.73
02 Aragón,2018,58.1,2058278.0,9266.0,28728.85,22876043.0,56751.0,1199.0,97.155,Vivienda segunda mano,109.708,Menos de 3 habitaciones,3.7,2.64,12603.0,104.73
02 Aragón,2018,58.1,2058278.0,9266.0,28728.85,22876043.0,56751.0,1199.0,97.155,Vivienda segunda mano,109.708,Entre 3 y 6 habitaciones,422.3,2.64,12603.0,104.73
02 Aragón,2018,58.1,2058278.0,9266.0,28728.85,22876043.0,56751.0,1199.0,97.155,Vivienda segunda mano,109.708,7 o más habitaciones,111.5,2.64,12603.0,104.73
02 Aragón,2017,58.8,2058278.0,9253.0,28055.46,19805510.0,53373.0,1211.0,96.02,Vivienda nueva,107.455,Menos de 3 habitaciones,4.7,2.494,14027.0,102.66
02 Aragón,2017,58.8,2058278.0,9253.0,28055.46,19805510.0,53373.0,1211.0,96.02,Vivienda nueva,107.455,Entre 3 y 6 habitaciones,432.1,2.494,14027.0,102.66
02 Aragón,2017,58.8,2058278.0,9253.0,28055.46,19805510.0,53373.0,1211.0,96.02,Vivienda nueva,107.455,7 o más habitaciones,100.4,2.494,14027.0,102.66
02 Aragón,2017,58.8,2058278.0,9253.0,28055.46,19805510.0,53373.0,1211.0,96.02,Vivienda segunda mano,104.29,Menos de 3 habitaciones,4.7,2.494,14027.0,102.66
02 Aragón,2017,58.8,2058278.0,9253.0,28055.46,19805510.0,53373.0,1211.0,96.02,Vivienda segunda mano,104.29,Entre 3 y 6 habitaciones,432.1,2.494,14027.0,102.66
02 Aragón,2017,58.8,2058278.0,9253.0,28055.46,19805510.0,53373.0,1211.0,96.02,Vivienda segunda mano,104.29,7 o más habitaciones,100.4,2.494,14027.0,102.66
02 Aragón,2016,59.1,2058278.0,89.0,27880.66,12164792.0,48387.0,11649.0,95.182,Vivienda nueva,104.105,Menos de 3 habitaciones,4.9,3.202,12265.0,131.1
02 Aragón,2016,59.1,2058278.0,89.0,27880.66,12164792.0,48387.0,11649.0,95.182,Vivienda nueva,104.105,Entre 3 y 6 habitaciones,428.1,3.202,12265.0,131.1
02 Aragón,2016,59.1,2058278.0,89.0,27880.66,12164792.0,48387.0,11649.0,95.182,Vivienda nueva,104.105,7 o más habitaciones,104.8,3.202,12265.0,131.1
02 Aragón,2016,59.1,2058278.0,89.0,27880.66,12164792.0,48387.0,11649.0,95.182,Vivienda segunda mano,101.441,Menos de 3 habitaciones,4.9,3.202,12265.0,131.1
02 Aragón,2016,59.1,2058278.0,89.0,27880.66,12164792.0,48387.0,11649.0,95.182,Vivienda segunda mano,101.441,Entre 3 y 6 habitaciones,428.1,3.202,12265.0,131.1
02 Aragón,2016,59.1,2058278.0,89.0,27880.66,12164792.0,48387.0,11649.0,95.182,Vivienda segunda mano,101.441,7 o más habitaciones,104.8,3.202,12265.0,131.1
02 Aragón,2015,58.5,2058278.0,6891.0,27073.94,12448625.0,57333.0,12427.0,93.705,Vivienda nueva,100.0,Menos de 3 habitaciones,5.1,2.26,13699.0,108.34
02 Aragón,2015,58.5,2058278.0,6891.0,27073.94,12448625.0,57333.0,12427.0,93.705,Vivienda nueva,100.0,Entre 3 y 6 habitaciones,425.3,2.26,13699.0,108.34
02 Aragón,2015,58.5,2058278.0,6891.0,27073.94,12448625.0,57333.0,12427.0,93.705,Vivienda nueva,100.0,7 o más habitaciones,108.3,2.26,13699.0,108.34
02 Aragón,2015,58.5,2058278.0,6891.0,27073.94,12448625.0,57333.0,12427.0,93.705,Vivienda segunda mano,100.0,Menos de 3 habitaciones,5.1,2.26,13699.0,108.34
02 Aragón,2015,58.5,2058278.0,6891.0,27073.94,12448625.0,57333.0,12427.0,93.705,Vivienda segunda mano,100.0,Entre 3 y 6 habitaciones,425.3,2.26,13699.0,108.34
02 Aragón,2015,58.5,2058278.0,6891.0,27073.94,12448625.0,57333.0,12427.0,93.705,Vivienda segunda mano,100.0,7 o más habitaciones,108.3,2.26,13699.0,108.34
02 Aragón,2014,58.8,2058278.0,6358.0,26673.84,16484024.0,36325.0,12037.0,93.792,Vivienda nueva,98.504,Menos de 3 habitaciones,10.0,2.349,13587.0,81.97
02 Aragón,2014,58.8,2058278.0,6358.0,26673.84,16484024.0,36325.0,12037.0,93.792,Vivienda nueva,98.504,Entre 3 y 6 habitaciones,416.8,2.349,13587.0,81.97
02 Aragón,2014,58.8,2058278.0,6358.0,26673.84,16484024.0,36325.0,12037.0,93.792,Vivienda nueva,98.504,7 o más habitaciones,113.1,2.349,13587.0,81.97
02 Aragón,2014,58.8,2058278.0,6358.0,26673.84,16484024.0,36325.0,12037.0,93.792,Vivienda segunda mano,99.331,Menos de 3 habitaciones,10.0,2.349,13587.0,81.97
02 Aragón,2014,58.8,2058278.0,6358.0,26673.84,16484024.0,36325.0,12037.0,93.792,Vivienda segunda mano,99.331,Entre 3 y 6 habitaciones,416.8,2.349,13587.0,81.97
02 Aragón,2014,58.8,2058278.0,6358.0,26673.84,16484024.0,36325.0,12037.0,93.792,Vivienda segunda mano,99.331,7 o más habitaciones,113.1,2.349,13587.0,81.97
02 Aragón,2013,59.3,2058278.0,6116.0,27644.6,28454854.0,47589.0,12022.0,94.953,Vivienda nueva,100.249,Menos de 3 habitaciones,4.3,2.349,12408.0,99.87
02 Aragón,2013,59.3,2058278.0,6116.0,27644.6,28454854.0,47589.0,12022.0,94.953,Vivienda nueva,100.249,Entre 3 y 6 habitaciones,427.2,2.349,12408.0,99.87
02 Aragón,2013,59.3,2058278.0,6116.0,27644.6,28454854.0,47589.0,12022.0,94.953,Vivienda nueva,100.249,7 o más habitaciones,106.9,2.349,12408.0,99.87
02 Aragón,2013,59.3,2058278.0,6116.0,27644.6,28454854.0,47589.0,12022.0,94.953,Vivienda segunda mano,101.888,Menos de 3 habitaciones,4.3,2.349,12408.0,99.87
02 Aragón,2013,59.3,2058278.0,6116.0,27644.6,28454854.0,47589.0,12022.0,94.953,Vivienda segunda mano,101.888,Entre 3 y 6 habitaciones,427.2,2.349,12408.0,99.87
02 Aragón,2013,59.3,2058278.0,6116.0,27644.6,28454854.0,47589.0,12022.0,94.953,Vivienda segunda mano,101.888,7 o más habitaciones,106.9,2.349,12408.0,99.87
02 Aragón,2012,59.4,2058278.0,11092.5,27963.34,23676927.0,82863.0,11904.0,94.788,Vivienda nueva,115.848,7 o más habitaciones,108.65,2.349,14325.0,159.43
02 Aragón,2012,59.4,2058278.0,11092.5,27963.34,23676927.0,82863.0,11904.0,94.788,Vivienda segunda mano,116.301,7 o más habitaciones,108.65,2.349,14325.0,159.43
02 Aragón,2011,58.6,2058278.0,11092.5,28077.79,19868325.0,56785.0,11657.0,92.3,Vivienda nueva,133.054,7 o más habitaciones,108.65,2.349,16065.0,136.94
02 Aragón,2011,58.6,2058278.0,11092.5,28077.79,19868325.0,56785.0,11657.0,92.3,Vivienda segunda mano,137.634,7 o más habitaciones,108.65,2.349,16065.0,136.94
02 Aragón,2010,59.6,2058278.0,11092.5,27548.67,24328724.0,99084.0,11968.0,90.144,Vivienda nueva,141.235,7 o más habitaciones,108.65,2.349,13021.0,155.72
02 Aragón,2010,59.6,2058278.0,11092.5,27548.67,24328724.0,99084.0,11968.0,90.144,Vivienda segunda mano,154.028,7 o más habitaciones,108.65,2.349,13021.0,155.72
"03 Asturias, Principado de",2023,49.7,1006060.0,11092.5,30694.45,30083672.0,56950.0,15432.0,113.134,Vivienda nueva,109.46,7 o más habitaciones,108.65,2.349,13418.0,142.59
"03 Asturias, Principado de",2022,49.9,1004960.0,8963.0,29251.91,31589498.0,55746.0,13777.0,109.896,Vivienda nueva,138.047,7 o más habitaciones,108.65,4.269,18047.0,117.5
"03 Asturias, Principado de",2022,49.9,1004960.0,8963.0,29251.91,31589498.0,55746.0,13777.0,109.896,Vivienda segunda mano,124.485,7 o más habitaciones,108.65,4.269,18047.0,117.5
"03 Asturias, Principado de",2021,50.6,1012117.0,8579.0,26092.73,31731045.0,48248.0,12861.0,103.853,Vivienda nueva,129.002,7 o más habitaciones,108.65,5.912,18042.0,107.5
"03 Asturias, Principado de",2021,50.6,1012117.0,8579.0,26092.73,31731045.0,48248.0,12861.0,103.853,Vivienda segunda mano,117.392,7 o más habitaciones,108.65,5.912,18042.0,107.5
"03 Asturias, Principado de",2020,51.0,2058278.0,657.0,23504.49,20634423.0,45196.0,12786.0,97.766,Vivienda nueva,125.613,Menos de 3 habitaciones,5.9,-10.238,14121.0,90.29
"03 Asturias, Principado de",2020,51.0,2058278.0,657.0,23504.49,20634423.0,45196.0,12786.0,97.766,Vivienda nueva,125.613,Entre 3 y 6 habitaciones,386.0,-10.238,14121.0,90.29
"03 Asturias, Principado de",2020,51.0,2058278.0,657.0,23504.49,20634423.0,45196.0,12786.0,97.766,Vivienda nueva,125.613,7 o más habitaciones,63.6,-10.238,14121.0,90.29
"03 Asturias, Principado de",2020,51.0,2058278.0,657.0,23504.49,20634423.0,45196.0,12786.0,97.766,Vivienda segunda mano,112.436,Menos de 3 habitaciones,5.9,-10.238,14121.0,90.29
"03 Asturias, Principado de",2020,51.0,2058278.0,657.0,23504.49,20634423.0,45196.0,12786.0,97.766,Vivienda segunda mano,112.436,Entre 3 y 6 habitaciones,386.0,-10.238,14121.0,90.29
"03 Asturias, Principado de",2020,51.0,2058278.0,657.0,23504.49,20634423.0,45196.0,12786.0,97.766,Vivienda segunda mano,112.436,7 o más habitaciones,63.6,-10.238,14121.0,90.29
"03 Asturias, Principado de",2019,50.9,2058278.0,8824.0,27367.02,56016655.0,47896.0,12523.0,98.339,Vivienda nueva,118.008,Menos de 3 habitaciones,7.3,1.717,16904.0,114.7
"03 Asturias, Principado de",2019,50.9,2058278.0,8824.0,27367.02,56016655.0,47896.0,12523.0,98.339,Vivienda nueva,118.008,Entre 3 y 6 habitaciones,391.3,1.717,16904.0,114.7
"03 Asturias, Principado de",2019,50.9,2058278.0,8824.0,27367.02,56016655.0,47896.0,12523.0,98.339,Vivienda nueva,118.008,7 o más habitaciones,55.8,1.717,16904.0,114.7
